1;H;hidrogén;1.0;14.175;20.28;2.2
3;Li;lítium;6.3;453.85;1615;0.98
4;Be;berillium;9.0;1560.15;2742;1.57
5;B;bór;10.8;2573.15;4200;2.04
6;C;szén;12.0;3948.15;4300;2.55
7;N;nitrogén;14.0;63.29;77.36;3.04
8;O;oxigén;15.9;50.5;90.2;3.44
9;F;fluor;18.9;53.63;85.03;3.98
11;Na;nátrium;22.9;371.15;1156;0.93
12;Mg;magnézium;24.3;923.15;1363;1.31
13;Al;alumínium;26.9;933.4;2792;1.61
14;Si;szilícium;28.0;1683.15;3538;1.9
15;P;foszfor;30.9;317.25;553;2.19
16;S;kén;32.0;388.51;717.8;2.58
17;Cl;klór;35.4;172.31;239.11;3.16
19;K;kálium;39.0;336.5;1032;0.82
20;Ca;kalcium;40.0;1112.15;1757;1
21;Sc;szkandium;44.9;1812.15;3109;1.36
22;Ti;titán;47.8;1933.15;3560;1.54
23;V;vanádium;50.9;2175.15;3680;1.63
24;Cr;króm;51.9;2130.15;2944;1.66
25;Mn;mangán;54.9;1519.15;2334;1.55
26;Fe;vas;55.8;1808.15;3134;1.83
27;Co;kobalt;58.9;1768.15;3200;1.88
28;Ni;nikkel;58.6;1726.15;3186;1.91
29;Cu;réz;63.5;1357.75;2835;1.9
30;Zn;cink;65.3;692.88;1180;1.65
31;Ga;gallium;69.7;302.91;2477;1.81
32;Ge;germánium;72.6;1211.45;3106;2.01
33;As;arzén;74.9;1090.15;887;2.18
34;Se;szelén;78.9;494.15;958;2.55
35;Br;bróm;79.9;266.05;332;2.96
36;Kr;kripton;83.7;115.93;119.93;3
37;Rb;rubídium;85.4;312.79;961;0.82
38;Sr;stroncium;87.6;1042.15;1655;0.95
39;Y;ittrium;88.9;1799.15;3609;1.22
40;Zr;cirkónium;91.2;2125.15;4682;1.33
41;Nb;nióbium;92.9;2741.15;5017;1.6
42;Mo;molibdén;95.9;2890.15;4912;2.16
43;Tc;technécium;98.9;2473.15;5150;1.9
44;Ru;ruténium;101;2523.15;4423;2.2
45;Rh;ródium;102;2239.15;3968;2.28
46;Pd;palládium;106;1825.15;3236;2.2
47;Ag;ezüst;107;1234.15;2435;1.93
48;Cd;kadmium;112;594.33;1040;1.69
49;In;indium;114;429.91;2345;1.78
50;Sn;ón;118;505.21;2875;1.96
51;Sb;antimon;121;904.05;1860;2.05
52;Te;tellúr;127;722.8;1261;2.1
53;I;jód;126;386.65;457.4;2.66
54;Xe;xenon;131;161.45;165.03;2.6
55;Cs;cézium;132;301.7;944;0.79
56;Ba;bárium;137;1002.15;2170;0.89
57;La;lantán;138;1193.15;3737;1.1
58;Ce;cérium;140;1071.15;3716;1.12
59;Pr;prazeodímium;140;1204.15;3793;1.13
60;Nd;neodímium;144;1289.15;3347;1.14
62;Sm;szamárium;150;1345.15;2067;1.17
64;Gd;gadolínium;157;1585.15;3546;1.2
66;Dy;diszprózium;162;1680.15;2840;1.22
67;Ho;holmium;164;1743.15;2993;1.23
68;Er;erbium;167;1795.15;3503;1.24
69;Tm;túlium;168;1818.15;2223;1.25
71;Lu;lutécium;174;1936.15;3675;1.27
72;Hf;hafnium;178;2500.15;4876;1.3
73;Ta;tantál;180;3269.15;5731;1.5
74;W;volfrám;183;3680.15;5828;2.36
75;Re;rénium;186;3453.15;5869;1.9
76;Os;ozmium;190;3300.15;5285;2.2
77;Ir;irídium;192;2716.15;4701;2.2
78;Pt;platina;195;2045.15;4098;2.28
79;Au;arany;196;1337.73;3129;2.54
80;Hg;higany;200;234.43;630;2
81;Tl;tallium;204;577.15;1746;1.62
82;Pb;ólom;207;600.75;2022;2.33
83;Bi;bizmut;208;544.67;1837;2.02
84;Po;polónium;208;527.15;1235;2
85;At;asztácium;209;575.15;610;2.2
87;Fr;francium;223;300.15;950;0.7
88;Ra;rádium;226;973.15;2010;0.9
89;Ac;aktínium;227;1323.15;3471;1.1
90;Th;tórium;232;2028.15;5061;1.3
91;Pa;protaktínium;231;1873.15;4300;1.5
92;U;urán;238;1405.15;4404;1.38
93;Np;neptúnium;237;913.15;4273;1.36
94;Pu;plutónium;244;913.15;3501;1.28
95;Am;amerícium;243;1267.15;2880;1.3
96;Cm;kűrium;247;1340.15;3383;1.3
97;Bk;berkélium;247;1259.15;983;1.3
98;Cf;kalifornium;251;1925.15;1173;1.3
